NOM_REGION,COD_REGION,NOM_NVA_REG,COD_NVA_REG
Alsace,42,Grand-Est,44
Aquitaine,72,Nouvelle-Aquitaine,75
Auvergne,83,Auvergne-Rhône-Alpes,84
Basse-Normandie,25,Normandie,28
Bourgogne,26,Bourgogne-Franche-Comté,27
Bretagne,53,Bretagne,53
Centre-Val de Loire,24,Centre-Val de Loire,24
Champagne-Ardenne,21,Grand-Est,44
Corse,94,Corse,94
Franche-Comté,43,Bourgogne-Franche-Comté,27
Guadeloupe,01,Guadeloupe,01
Guyane,03,Guyane,03
Haute-Normandie,23,Normandie,28
Île-de-France,11,Île-de-France,11
La Réunion,04,La Réunion,04
Languedoc-Roussillon,91,Région Occitanie,76
Limousin,74,Nouvelle-Aquitaine,75
Lorraine,41,Grand-Est,44
Martinique,02,Martinique,02
Mayotte,06,Mayotte,06
Midi-Pyrénées,73,Région Occitanie,76
Nord-Pas-de-Calais,31,Hauts-de-France,32
Pays de la Loire,52,Pays de la Loire,52
Picardie,22,Hauts-de-France,32
Poitou-Charentes,54,Nouvelle-Aquitaine,75
Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur,93
Rhône-Alpes,82,Auvergne-Rhône-Alpes,84
